"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Lernaea cyprinacea",NA,NA,NA,NA,"N"
"Cestrum parqui",NA,NA,NA,NA,"N"
"white tail disease",NA,NA,NA,NA,"N"
"Indigofera trita",NA,NA,NA,"Positive and negative","N"
"Rubus racemosus",NA,NA,NA,"Positive","N"
"Phytophthora megakarya",NA,NA,NA,NA,"Y"
"Pinus oocarpa",NA,NA,NA,NA,"Y"
"Radopholus citri","exclude","exclude","exclude","exclude","exclude"
"Burkholderia pseudomallei","exclude","exclude","exclude","exclude","exclude"
"Bonamia ostreae","exclude","exclude","exclude","exclude","exclude"
"Anaplasma marginale","exclude","exclude","exclude","exclude","exclude"
"Venezuelan equine encephalitis virus","exclude","exclude","exclude","exclude","exclude"
"yellow head virus",NA,NA,NA,NA,"N"
"channel catfish virus","exclude","exclude","exclude","exclude","exclude"
"Kyllinga polyphylla","Negative",NA,NA,NA,"N"
"Rhipicephalus appendiculatus",NA,NA,NA,NA,"N"
"Sarotherodon galilaeus",NA,NA,"Positive, Positive",NA,"N"
"Cleome gynandra",NA,NA,NA,NA,"N"
"Crotalaria maypurensis",NA,NA,NA,NA,"N"
"Ipomoea hederifolia",NA,NA,NA,NA,"N"
"Aristolochia littoralis",NA,NA,NA,NA,"N"
"Monochoria vaginalis",NA,NA,NA,NA,"N"
"Cereus jamacaru",NA,NA,NA,NA,"N"
"Kalanchoe daigremontiana","Negative",NA,NA,"Negative","N"
"Onopordum acaulon","Negative",NA,NA,NA,"N"
"Onopordum illyricum","Negative",NA,NA,NA,"N"
"Oxalis pes-caprae",NA,NA,NA,NA,"N"
"foot-and-mouth disease virus","exclude","exclude","exclude","exclude","exclude"
"Acacia caven",NA,NA,NA,NA,"N"
"Acacia cyclops",NA,"None","None, None","None","N"
"Haliotis fulgens",NA,NA,NA,NA,"N"
"Cestrum aurantiacum",NA,NA,NA,NA,"N"
"Cygnus olor",NA,NA,NA,NA,"N"
"Chlamydophila felis",NA,NA,NA,NA,"N"
"Chlamydia suis",NA,NA,NA,NA,"N"
"Chlamydophila abortus",NA,NA,NA,NA,"N"
"Chlamydophila caviae",NA,NA,NA,NA,"N"
"Chlamydophila pecorum",NA,NA,NA,NA,"N"
"Cascabela thevetia",NA,NA,NA,NA,"N"
"epizootic haematopoietic necrosis virus","exclude","exclude","exclude","exclude","exclude"
"Mycale grandis",NA,NA,NA,NA,"N"
"Schizoporella errata",NA,NA,NA,NA,"N"
"Eremochloa ophiuroides",NA,NA,NA,NA,"N"
"Eleocharis dulcis",NA,NA,NA,NA,"N"
"Heliotropium indicum",NA,NA,NA,NA,"Y"
"Inula britannica","Negative",NA,NA,NA,"N"
"Euphorbia terracina","Negative",NA,NA,"Negative","N"
"Ageratina riparia","Negative",NA,NA,NA,"N"
"Oncorhynchus masou virus","exclude","exclude","exclude","exclude","exclude"
"Hemigraphis alternata",NA,NA,NA,NA,"Y"
"Lupinus plattensis",NA,NA,NA,NA,"N"
"Salmonella gallinarum","exclude","exclude","exclude","exclude","exclude"
"avian infectious bronchitis virus","exclude","exclude","exclude","exclude","exclude"
"avian chlamydiosis",NA,NA,NA,NA,"N"
"Babesia bigemina","exclude","exclude","exclude","exclude","exclude"
"Babesia caballi","exclude","exclude","exclude","exclude","exclude"
"Babesia canis","exclude","exclude","exclude","exclude","exclude"
"Babesia equi","exclude","exclude","exclude","exclude","exclude"
"Babesia gibsoni","exclude","exclude","exclude","exclude","exclude"
"Babesia motasi","exclude","exclude","exclude","exclude","exclude"
"Babesia trautmanni","exclude","exclude","exclude","exclude","exclude"
"bovine viral diarrhea virus","exclude","exclude","exclude","exclude","exclude"
"bovine herpesvirus 1","exclude","exclude","exclude","exclude","exclude"
"bovine leukemia virus","exclude","exclude","exclude","exclude","exclude"
"Arid regions",NA,NA,NA,NA,"N"
"Castor canadensis",NA,"Negative",NA,NA,"N"
"African horse sickness virus","exclude","exclude","exclude","exclude","exclude"
"Coptotermes gestroi",NA,NA,NA,NA,"Y"
"Cuscuta reflexa",NA,NA,NA,NA,"N"
"Agrilus auroguttatus",NA,NA,NA,NA,"N"
"Eleutherodactylus martinicensis",NA,NA,NA,NA,"N"
"Kallitaxila crini",NA,NA,NA,NA,"Y"
"Xanthomonas fragariae","exclude","exclude","exclude","exclude","exclude"
"West Nile virus","exclude","exclude","exclude","exclude","exclude"
"Euwallacea piceus",NA,"Negative","None, None","None","Y"
"Caprella mutica",NA,NA,NA,NA,"N"
"Gymnodinium catenatum","exclude","exclude","exclude","exclude","exclude"
"Salvinia minima",NA,NA,"Negative","Positive and negative","N"
"Faba bean necrotic yellows virus","exclude","exclude","exclude","exclude","exclude"
"Arthurdendyus triangulatus","Negative",NA,NA,NA,"N"
"Sagittaria latifolia",NA,NA,NA,NA,"Y"
"Nyctereutes procyonoides","Negative",NA,NA,"Negative","N"
"Newcastle disease",NA,NA,NA,NA,"N"
"Rugosa rugosa",NA,NA,NA,NA,"N"
"toxoplasmosis",NA,NA,NA,NA,"N"
"Sitophilus zeamais",NA,NA,NA,NA,"Y"
"Datura innoxia","Negative",NA,NA,"Negative","N"
"Daucus carota","Negative",NA,NA,"Positive","Y"
"Salvelinus fontinalis",NA,NA,NA,NA,"N"
"Hemichromis letourneuxi",NA,NA,NA,NA,"N"
"Liriomyza sativae",NA,NA,NA,NA,"Y"
"Listroderes costirostris",NA,NA,NA,NA,"Y"
"Monochamus saltuarius",NA,NA,NA,NA,"N"
"Parkinsonia aculeata","Negative","None","None, None","None","N"
"Agropyron cristatum","Negative",NA,NA,NA,"N"
"Olea europaea subsp. cuspidata",NA,NA,NA,NA,"N"
"sheep and goat pox",NA,NA,NA,NA,"N"
"Sporisorium scitamineum",NA,NA,NA,NA,"Y"
"Hevea brasiliensis",NA,NA,NA,NA,"Y"
"Hygrophila polysperma",NA,NA,"Negative","Negative","N"
"Hylurgops palliatus",NA,"None","None, None","None","Y"
"Pasteurella multocida infections",NA,NA,NA,NA,"N"
"infectious haematopoietic necrosis virus","exclude","exclude","exclude","exclude","exclude"
"infectious laryngotracheitis",NA,NA,NA,NA,"N"
"bovine herpesvirus 1 infections",NA,NA,NA,NA,"N"
"infectious salmon anaemia",NA,NA,"Negative, Negative",NA,"N"
"Potamogeton crispus",NA,NA,"Negative","Positive and negative","Y"
"Phyllonorycter issikii",NA,NA,NA,NA,"N"
"Ipomoea purpurea","Negative",NA,NA,"Positive","N"
"Mythimna unipuncta",NA,"None","None, None","None","N"
"Aujeszky&#39;s disease",NA,NA,NA,NA,"N"
"caprine arthritis encephalitis",NA,NA,NA,NA,"N"
"Acanthogobius flavimanus",NA,NA,NA,NA,"N"
"Cyperus papyrus",NA,NA,"Negative",NA,"N"
"Cryptostegia grandiflora","Negative","None","None, None","Negative","Y"
"Pseudorasbora parva",NA,NA,"Negative",NA,"N"
"peste des petits ruminants",NA,NA,NA,NA,"N"
"Albizia chinensis",NA,NA,NA,NA,"Y"
"Ophiostoma novo-ulmi",NA,"Negative","None, None","None","Y"
"Meloidogyne graminicola","exclude","exclude","exclude","exclude","exclude"
"Aleurocanthus woglumi",NA,NA,NA,NA,"Y"
"Striga hermonthica",NA,NA,NA,NA,"Y"
"Solidago nemoralis","Negative","Negative",NA,NA,"Y"
"Vicia villosa","Negative",NA,NA,NA,"N"
"Vincetoxicum rossicum","Negative","Negative","None, None","None","Y"
"Elaeagnus umbellata",NA,"Negative",NA,NA,"Y"
"Microcosmus squamiger",NA,NA,"Negative",NA,"N"
"Euphorbia heterophylla",NA,NA,NA,NA,"Y"
"Dysmicoccus neobrevipes","Negative",NA,NA,NA,"N"
"Infection with salmonid alphavirus",NA,NA,"Negative, Negative",NA,"N"
"Marek&#39;s disease",NA,NA,NA,NA,"N"
"Chelonid herpesvirus 5","exclude","exclude","exclude","exclude","exclude"
"Plasmopara viticola",NA,NA,NA,NA,"Y"
"Heracleum persicum",NA,NA,"Negative","Negative","N"
"Mycosphaerella pini",NA,NA,NA,NA,"Y"
"Cordia alliodora",NA,NA,NA,NA,"N"
"trypanosomosis",NA,NA,NA,NA,"N"
"Q fever",NA,NA,NA,NA,"N"
"rabies",NA,NA,NA,NA,"N"
"bovine theilerioses",NA,NA,NA,NA,"N"
"Limnocharis flava","Negative","Negative","Negative","Negative","N"
"Cortaderia jubata",NA,"Negative",NA,"Negative","N"
"Bauhinia variegata",NA,NA,NA,"Positive","N"
"Azadirachta indica","Negative","None","None, None","None","Y"
"Banana bunchy top virus","exclude","exclude","exclude","exclude","exclude"
"channel catfish virus disease",NA,NA,"Negative, Negative",NA,"N"
"Vallisneria spiralis",NA,NA,NA,NA,"N"
"Xylosandrus morigerus",NA,"Negative","None, None","None","Y"
"Echium plantagineum","Negative","None","None, None","Negative","Y"
"Acanthaster planci",NA,NA,NA,"Negative","N"
"Hemiberlesia rapax",NA,NA,NA,NA,"N"
"Flacourtia indica",NA,NA,NA,"Positive","N"
"Hylurgus ligniperda",NA,"Negative","None, None","None","Y"
"Japanese encephalitis",NA,NA,NA,NA,"N"
"Morone americana",NA,NA,NA,NA,"N"
"Ictalurus furcatus",NA,NA,NA,NA,"N"
"canine distemper",NA,NA,NA,NA,"N"
"Populus nigra",NA,NA,NA,NA,"Y"
"Setaria viridis",NA,NA,NA,NA,"N"
"Pieris rapae",NA,NA,NA,NA,"N"
"Rubus parviflorus",NA,"Negative",NA,NA,"Y"
"Rumex obtusifolius","Negative","None","None, None","None","Y"
"anaplasmosis",NA,NA,NA,NA,"N"
"anthrax",NA,NA,NA,NA,"N"
"canine distemper virus","exclude","exclude","exclude","exclude","exclude"
"Cylas formicarius",NA,NA,NA,NA,"Y"
"Procambarus acutus acutus",NA,NA,NA,NA,"N"
"Rift Valley fever",NA,NA,NA,NA,"N"
"Hirschfeldia incana","Negative",NA,NA,NA,"N"
"Leptospermum scoparium","Negative",NA,NA,NA,"N"
"Acacia angustissima","Negative","Negative",NA,"Positive","N"
"foot-and-mouth disease in ruminants",NA,NA,NA,NA,"N"
"foot-and-mouth disease in pigs",NA,NA,NA,NA,"N"
"Balanites aegyptiaca",NA,NA,NA,"Positive","Y"
"Datura ferox","Negative",NA,NA,NA,"N"
"crayfish plague",NA,NA,NA,NA,"Y"
"equine encephalomyelitis (Eastern)",NA,NA,NA,NA,"Y"
"contagious bovine pleuropneumonia",NA,NA,NA,NA,"N"
"contagious caprine pleuropneumonia",NA,NA,NA,NA,"N"
"Solanum nigrum",NA,NA,NA,NA,"N"
"Solenopsis richteri","Negative",NA,NA,"Negative","Y"
"Heliothrips haemorrhoidalis",NA,NA,NA,NA,"N"
"Grapholita molesta",NA,NA,NA,NA,"Y"
"Heterobasidion araucariae",NA,NA,NA,NA,"Y"
"Heterobasidion insulare",NA,NA,NA,NA,"Y"
"malignant catarrhal fever",NA,NA,NA,NA,"N"
"Plantago asiatica mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Galinsoga quadriradiata","Negative",NA,NA,NA,"N"
"Opuntia monacantha","Negative",NA,NA,"Negative","N"
"Frangula alnus",NA,"None","None, None","None","Y"
"avian infectious bronchitis",NA,NA,NA,NA,"N"
"enzootic bovine leukosis",NA,NA,NA,NA,"N"
"bovine venereal trichomonosis",NA,NA,NA,NA,"N"
"Chenopodium album",NA,NA,NA,NA,"N"
"Canna indica",NA,NA,NA,"Positive","Y"
"Paspalum vaginatum","Negative",NA,"Negative","Negative","Y"
"Limnobium laevigatum",NA,NA,NA,NA,"N"
"Emilia fosbergii",NA,NA,NA,NA,"N"
"Pseudogymnoascus destructans","Negative","Negative",NA,"Negative","Y"
"Infection with Pseudogymnoascus destructans in bats",NA,NA,NA,NA,"Y"
"Ardisia crenata","Negative",NA,NA,"Positive and negative","Y"
"Neolecanium cornuparvum",NA,NA,NA,NA,"N"
"Macrosiphum euphorbiae",NA,"None","None, None","None","Y"
"Acacia nilotica","Negative","None","None, None","None","Y"
"infectious bursal disease",NA,NA,NA,NA,"N"
"Xanthomonas campestris pv. musacearum","exclude","exclude","exclude","exclude","exclude"
"Xanthosoma sagittifolium",NA,NA,NA,NA,"N"
"Salsola kali","Negative",NA,NA,NA,"N"
"West Nile fever",NA,NA,NA,NA,"N"
"Xyleborus dispar",NA,"Negative","None, None","None","Y"
"Xyleborus perforans",NA,"Negative","None, None","None","Y"
"equine encephalomyelitis (Western)",NA,NA,NA,NA,"N"
"Aquarium trade (pathway cause)",NA,NA,NA,NA,"N"
"Benthic zone (habitat)",NA,NA,NA,NA,"N"
"Forestry (pathway cause)",NA,NA,NA,NA,"N"
"Mycoplasma mycoides subsp. mycoides small colony (SC) type","exclude","exclude","exclude","exclude","exclude"
"Mycoplasma mycoides mycoides large colony (LC) type","exclude","exclude","exclude","exclude","exclude"
"acute hepatopancreatic necrosis disease",NA,NA,NA,NA,"N"
"Digestion and excretion (pathway cause)",NA,NA,NA,NA,"N"
"extra small virus","exclude","exclude","exclude","exclude","exclude"
"Ranavirus infection in amphibians",NA,NA,NA,NA,"N"
"Austropotamobius pallipes",NA,NA,NA,NA,"N"
"Theileria orientalis/Theileria buffeli group","exclude","exclude","exclude","exclude","exclude"
"infection with Perkinsus marinus",NA,NA,NA,NA,"N"
"Animal production (pathway cause)",NA,NA,NA,NA,"N"
"infectious myonecrosis virus","exclude","exclude","exclude","exclude","exclude"
"infectious myonecrosis",NA,NA,NA,NA,"N"
"Hedges and windbreaks (pathway cause)",NA,NA,NA,NA,"N"
"white spot disease",NA,NA,NA,NA,"N"
"Plants or parts of plants (pathway vector)",NA,NA,NA,NA,"Y"
"heartwater",NA,NA,NA,NA,"N"
"Mytilicola intestinalis infestation",NA,NA,"Negative, Negative",NA,"N"
"Clothing, footwear and possessions (pathway vector)",NA,NA,NA,NA,"N"
"porcine enterovirus infections",NA,NA,NA,NA,"N"
"Mytilicola intestinalis",NA,NA,"Negative, Negative",NA,"N"
"enteric septicaemia of catfish",NA,NA,"Negative, Negative",NA,"N"
"Crop production (pathway cause)",NA,NA,NA,NA,"N"
"Burkholderia pseudomallei infections",NA,NA,NA,NA,"N"
"Soil, sand and gravel (pathway vector)",NA,NA,NA,NA,"N"
"babesiosis",NA,NA,NA,NA,"N"
